Recipe,Ingredient,Quantity,Serving
butter chicken,cayenne pepper,0.44,4.0
butter chicken,dried coriander,6.06,4.0
butter chicken,lemon juice,20.1,4.0
butter chicken,ground cumin,2.07,4.0
butter chicken,butter,113.39,4.0
paratha,wheat flour,250.79,3.0
paratha,salt,5.19,3.0
paratha,oil,81.64,3.0
paratha,water,173.04,3.0
indian fish pakoras,fish,453.59,2.0
indian fish pakoras,lemon juice,9.66,2.0
indian fish pakoras,salt,3.46,2.0
indian fish pakoras,garbanzo flour,90.49,2.0
indian fish pakoras,cilantro leaves,2.07,2.0
indian fish pakoras,green chili,4.0,2.0
indian fish pakoras,garlic,6.0,2.0
indian fish pakoras,ginger root,4.53,2.0
indian fish pakoras,red chili powder,4.21,2.0
indian fish pakoras,turmeric,1.53,2.0
indian fish pakoras,cumin seed,2.07,2.0
indian fish pakoras,lemons,42.0,2.0
indian fish pakoras,onion,69.46,2.0
indian fish pakoras,chopped tomato,62.7,2.0
indian fish pakoras,tamarind chutney,75.0,2.0
indian fish pakoras,chutney,30.0,2.0
shrimp,shrimp,453.59,2.0
shrimp,garlic,2.8,2.0
shrimp,salt,5.46,2.0
shrimp,oil,4.53,2.0
bhindi do piazza,fish,375.0,4.0
bhindi do piazza,low-fat plain yogurt,170.34,4.0
bhindi do piazza,sugar,2.09,4.0
bhindi do piazza,salt,6.92,4.0
bhindi do piazza,ghee,38.6,4.0
bhindi do piazza,bay leaf,0.4,4.0
bhindi do piazza,clove,0.36,4.0
bhindi do piazza,green cardamoms,0.4,4.0
bhindi do piazza,cinnamon stick,0.33,4.0
bhindi do piazza,onion,450.0,4.0
bhindi do piazza,fresh ginger root,4.0,4.0
bhindi do piazza,dried red chilies,1.5,4.0
bhindi do piazza,onion,150.0,4.0
fish curry,fish fillets,907.18,6.0
fish curry,garlic paste,28.1,6.0
fish curry,ginger root,4.0,6.0
fish curry,mustard seed,10.6,6.0
fish curry,bay leaf,0.8,6.0
fish curry,coriander powder,3.03,6.0
fish curry,shallots,212.65,6.0
fish curry,red chilies,3.5,6.0
fish curry,cumin seed,6.21,6.0
fish curry,turmeric powder,6.06,6.0
fish curry,salt,49.25,6.0
fish curry,tomato,246.0,6.0
fish curry,water,709.77,6.0
kheer,basmati rice,92.27,2.0
kheer,water,473.18,2.0
kheer,milk,1967.68,2.0
kheer,green cardamom pods,1.0,2.0
kheer,sugar,251.37,2.0
kheer,blanched slivered almond,35.48,2.0
kheer,ground cardamom,1.01,2.0
kheer,ground nutmeg,0.57,2.0
kheer,rose water,14.79,2.0
crispy chicken sliders,boneless skinless chicken breast,378.0,4.0
crispy chicken sliders,shortening,51.45,4.0
crispy chicken sliders,panko breadcrumbs,113.56,4.0
crispy chicken sliders,provolone cheese,84.0,4.0
crispy chicken sliders,dinner roll,224.0,4.0
crispy chicken sliders,seasoned salt,7.24,4.0
crispy chicken sliders,onion powder,1.77,4.0
crispy chicken sliders,garlic powder,1.57,4.0
crispy chicken sliders,white pepper,0.59,4.0
crispy chicken sliders,egg,100.0,4.0
crispy chicken sliders,Crystal hot sauce,1.24,4.0
spicy chicken bites,canola oil,330.04,6.0
spicy chicken bites,chicken tenders,453.59,6.0
spicy chicken bites,hot sauce,39.82,6.0
spicy chicken bites,pancake mix,432.96,6.0
spicy chicken bites,water,295.73,6.0
spicy chicken bites,salt,10.38,6.0
chicken rice bowl,teriyaki marinade,127.75,4.0
chicken rice bowl,sugar,25.14,4.0
chicken rice bowl,boneless skinless chicken breast,680.38,4.0
chicken rice bowl,cornstarch,5.32,4.0
chicken rice bowl,vegetable oil,27.21,4.0
chicken rice bowl,cooked rice,474.0,4.0
chicken rice bowl,vegetables,280.0,4.0
spinach naan,corn kernel,255.52,6.0
spinach naan,salt and pepper,0.5,6.0
spinach naan,boneless chicken thighs,560.0,6.0
spinach naan,tandoori masala,6.28,6.0
spinach naan,mayonnaise,110.01,6.0
spinach naan,A.1. Original Sauce,29.88,6.0
spinach naan,green onion,15.0,6.0
spinach naan,naan bread,540.0,6.0
spinach naan,baby spinach leaves,141.74,6.0
